,index,product,date,region,sales
51,339,pink morsel,2018-02-18,west,1737.0
52,364,pink morsel,2018-02-19,north,1563.0
53,365,pink morsel,2018-02-19,south,1647.0
54,366,pink morsel,2018-02-19,east,1605.0
55,367,pink morsel,2018-02-19,west,1539.0
56,392,pink morsel,2018-02-20,north,1698.0
57,393,pink morsel,2018-02-20,south,1575.0
58,394,pink morsel,2018-02-20,east,1500.0
59,395,pink morsel,2018-02-20,west,1551.0
60,420,pink morsel,2018-02-21,north,1737.0
61,421,pink morsel,2018-02-21,south,1542.0
62,422,pink morsel,2018-02-21,east,1665.0
63,423,pink morsel,2018-02-21,west,1548.0
64,448,pink morsel,2018-02-22,north,1635.0
65,449,pink morsel,2018-02-22,south,1632.0
66,450,pink morsel,2018-02-22,east,1668.0
67,451,pink morsel,2018-02-22,west,1764.0
68,476,pink morsel,2018-02-23,north,1533.0
69,477,pink morsel,2018-02-23,south,1563.0
70,478,pink morsel,2018-02-23,east,1641.0
71,479,pink morsel,2018-02-23,west,1773.0
72,504,pink morsel,2018-02-24,north,1629.0
73,505,pink morsel,2018-02-24,south,1698.0
74,506,pink morsel,2018-02-24,east,1725.0
75,507,pink morsel,2018-02-24,west,1722.0
76,532,pink morsel,2018-02-25,north,1596.0
77,533,pink morsel,2018-02-25,south,1710.0
78,534,pink morsel,2018-02-25,east,1635.0
79,535,pink morsel,2018-02-25,west,1659.0
80,560,pink morsel,2018-02-26,north,1686.0
81,561,pink morsel,2018-02-26,south,1533.0
82,562,pink morsel,2018-02-26,east,1524.0
83,563,pink morsel,2018-02-26,west,1530.0
84,588,pink morsel,2018-02-27,north,1665.0
85,589,pink morsel,2018-02-27,south,1695.0
86,590,pink morsel,2018-02-27,east,1578.0
87,591,pink morsel,2018-02-27,west,1620.0
88,616,pink morsel,2018-02-28,north,1767.0
89,617,pink morsel,2018-02-28,south,1593.0
90,618,pink morsel,2018-02-28,east,1743.0
91,619,pink morsel,2018-02-28,west,1557.0
92,644,pink morsel,2018-03-01,north,1668.0
93,645,pink morsel,2018-03-01,south,1782.0
94,646,pink morsel,2018-03-01,east,1527.0
95,647,pink morsel,2018-03-01,west,1668.0
96,672,pink morsel,2018-03-02,north,1635.0
97,673,pink morsel,2018-03-02,south,1569.0
98,674,pink morsel,2018-03-02,east,1746.0
99,675,pink morsel,2018-03-02,west,1773.0
100,700,pink morsel,2018-03-03,north,1539.0
101,701,pink morsel,2018-03-03,south,1500.0
102,702,pink morsel,2018-03-03,east,1569.0
103,703,pink morsel,2018-03-03,west,1557.0
104,728,pink morsel,2018-03-04,north,1773.0
105,729,pink morsel,2018-03-04,south,1644.0
106,730,pink morsel,2018-03-04,east,1614.0
107,731,pink morsel,2018-03-04,west,1674.0
108,756,pink morsel,2018-03-05,north,1533.0
109,757,pink morsel,2018-03-05,south,1653.0
110,758,pink morsel,2018-03-05,east,1557.0
111,759,pink morsel,2018-03-05,west,1746.0
112,784,pink morsel,2018-03-06,north,1719.0
113,785,pink morsel,2018-03-06,south,1719.0
114,786,pink morsel,2018-03-06,east,1659.0
115,787,pink morsel,2018-03-06,west,1800.0
116,812,pink morsel,2018-03-07,north,1581.0
117,813,pink morsel,2018-03-07,south,1602.0
118,814,pink morsel,2018-03-07,east,1608.0
119,815,pink morsel,2018-03-07,west,1650.0
120,840,pink morsel,2018-03-08,north,1611.0
121,841,pink morsel,2018-03-08,south,1530.0
122,842,pink morsel,2018-03-08,east,1698.0
123,843,pink morsel,2018-03-08,west,1668.0
124,868,pink morsel,2018-03-09,north,1746.0
125,869,pink morsel,2018-03-09,south,1524.0
126,870,pink morsel,2018-03-09,east,1506.0
127,871,pink morsel,2018-03-09,west,1704.0
128,896,pink morsel,2018-03-10,north,1788.0
129,897,pink morsel,2018-03-10,south,1719.0
130,898,pink morsel,2018-03-10,east,1746.0
131,899,pink morsel,2018-03-10,west,1584.0
132,924,pink morsel,2018-03-11,north,1692.0
133,925,pink morsel,2018-03-11,south,1635.0
134,926,pink morsel,2018-03-11,east,1608.0
135,927,pink morsel,2018-03-11,west,1590.0
136,952,pink morsel,2018-03-12,north,1599.0
137,953,pink morsel,2018-03-12,south,1518.0
138,954,pink morsel,2018-03-12,east,1602.0
139,955,pink morsel,2018-03-12,west,1659.0
140,980,pink morsel,2018-03-13,north,1644.0
141,981,pink morsel,2018-03-13,south,1611.0
142,982,pink morsel,2018-03-13,east,1554.0
143,983,pink morsel,2018-03-13,west,1515.0
144,1008,pink morsel,2018-03-14,north,1515.0
145,1009,pink morsel,2018-03-14,south,1632.0
146,1010,pink morsel,2018-03-14,east,1512.0
147,1011,pink morsel,2018-03-14,west,1776.0
148,1036,pink morsel,2018-03-15,north,1677.0
149,1037,pink morsel,2018-03-15,south,1503.0
150,1038,pink morsel,2018-03-15,east,1605.0
151,1039,pink morsel,2018-03-15,west,1647.0
152,1064,pink morsel,2018-03-16,north,1506.0
153,1065,pink morsel,2018-03-16,south,1737.0
154,1066,pink morsel,2018-03-16,east,1590.0
155,1067,pink morsel,2018-03-16,west,1767.0
156,1092,pink morsel,2018-03-17,north,1593.0
157,1093,pink morsel,2018-03-17,south,1614.0
158,1094,pink morsel,2018-03-17,east,1710.0
159,1095,pink morsel,2018-03-17,west,1662.0
160,1120,pink morsel,2018-03-18,north,1650.0
161,1121,pink morsel,2018-03-18,south,1755.0
162,1122,pink morsel,2018-03-18,east,1698.0
163,1123,pink morsel,2018-03-18,west,1659.0
164,1148,pink morsel,2018-03-19,north,1683.0
165,1149,pink morsel,2018-03-19,south,1509.0
166,1150,pink morsel,2018-03-19,east,1500.0
167,1151,pink morsel,2018-03-19,west,1545.0
168,1176,pink morsel,2018-03-20,north,1647.0
169,1177,pink morsel,2018-03-20,south,1614.0
170,1178,pink morsel,2018-03-20,east,1629.0
171,1179,pink morsel,2018-03-20,west,1677.0
172,1204,pink morsel,2018-03-21,north,1743.0
173,1205,pink morsel,2018-03-21,south,1569.0
174,1206,pink morsel,2018-03-21,east,1593.0
175,1207,pink morsel,2018-03-21,west,1578.0
176,1232,pink morsel,2018-03-22,north,1578.0
177,1233,pink morsel,2018-03-22,south,1581.0
178,1234,pink morsel,2018-03-22,east,1653.0
179,1235,pink morsel,2018-03-22,west,1578.0
180,1260,pink morsel,2018-03-23,north,1761.0
181,1261,pink morsel,2018-03-23,south,1611.0
182,1262,pink morsel,2018-03-23,east,1749.0
183,1263,pink morsel,2018-03-23,west,1764.0
184,1288,pink morsel,2018-03-24,north,1716.0
185,1289,pink morsel,2018-03-24,south,1710.0
186,1290,pink morsel,2018-03-24,east,1800.0
187,1291,pink morsel,2018-03-24,west,1728.0
188,1316,pink morsel,2018-03-25,north,1743.0
189,1317,pink morsel,2018-03-25,south,1764.0
190,1318,pink morsel,2018-03-25,east,1740.0
191,1319,pink morsel,2018-03-25,west,1707.0
192,1344,pink morsel,2018-03-26,north,1509.0
193,1345,pink morsel,2018-03-26,south,1641.0
194,1346,pink morsel,2018-03-26,east,1533.0
195,1347,pink morsel,2018-03-26,west,1752.0
196,1372,pink morsel,2018-03-27,north,1767.0
197,1373,pink morsel,2018-03-27,south,1590.0
198,1374,pink morsel,2018-03-27,east,1533.0
199,1375,pink morsel,2018-03-27,west,1704.0
200,1400,pink morsel,2018-03-28,north,1671.0
201,1401,pink morsel,2018-03-28,south,1527.0
202,1402,pink morsel,2018-03-28,east,1524.0
203,1403,pink morsel,2018-03-28,west,1629.0
204,1428,pink morsel,2018-03-29,north,1722.0
205,1429,pink morsel,2018-03-29,south,1557.0
206,1430,pink morsel,2018-03-29,east,1686.0
207,1431,pink morsel,2018-03-29,west,1779.0
208,1456,pink morsel,2018-03-30,north,1734.0
209,1457,pink morsel,2018-03-30,south,1776.0
210,1458,pink morsel,2018-03-30,east,1554.0
211,1459,pink morsel,2018-03-30,west,1725.0
212,1484,pink morsel,2018-03-31,north,1617.0
213,1485,pink morsel,2018-03-31,south,1635.0
214,1486,pink morsel,2018-03-31,east,1605.0
215,1487,pink morsel,2018-03-31,west,1785.0
216,1512,pink morsel,2018-04-01,north,1761.0
217,1513,pink morsel,2018-04-01,south,1530.0
218,1514,pink morsel,2018-04-01,east,1710.0
219,1515,pink morsel,2018-04-01,west,1506.0
220,1540,pink morsel,2018-04-02,north,1509.0
221,1541,pink morsel,2018-04-02,south,1797.0
222,1542,pink morsel,2018-04-02,east,1662.0
223,1543,pink morsel,2018-04-02,west,1530.0
224,1568,pink morsel,2018-04-03,north,1767.0
225,1569,pink morsel,2018-04-03,south,1767.0
226,1570,pink morsel,2018-04-03,east,1614.0
227,1571,pink morsel,2018-04-03,west,1533.0
228,1596,pink morsel,2018-04-04,north,1767.0
229,1597,pink morsel,2018-04-04,south,1761.0
230,1598,pink morsel,2018-04-04,east,1566.0
231,1599,pink morsel,2018-04-04,west,1623.0
232,1624,pink morsel,2018-04-05,north,1506.0
233,1625,pink morsel,2018-04-05,south,1512.0
234,1626,pink morsel,2018-04-05,east,1692.0
235,1627,pink morsel,2018-04-05,west,1749.0
236,1652,pink morsel,2018-04-06,north,1701.0
237,1653,pink morsel,2018-04-06,south,1752.0
238,1654,pink morsel,2018-04-06,east,1632.0
239,1655,pink morsel,2018-04-06,west,1515.0
240,1680,pink morsel,2018-04-07,north,1725.0
241,1681,pink morsel,2018-04-07,south,1611.0
242,1682,pink morsel,2018-04-07,east,1788.0
243,1683,pink morsel,2018-04-07,west,1617.0
244,1708,pink morsel,2018-04-08,north,1656.0
245,1709,pink morsel,2018-04-08,south,1674.0
246,1710,pink morsel,2018-04-08,east,1557.0
247,1711,pink morsel,2018-04-08,west,1701.0
248,1736,pink morsel,2018-04-09,north,1686.0
249,1737,pink morsel,2018-04-09,south,1782.0
250,1738,pink morsel,2018-04-09,east,1641.0
251,1739,pink morsel,2018-04-09,west,1557.0
252,1764,pink morsel,2018-04-10,north,1686.0
253,1765,pink morsel,2018-04-10,south,1527.0
254,1766,pink morsel,2018-04-10,east,1698.0
255,1767,pink morsel,2018-04-10,west,1728.0
256,1792,pink morsel,2018-04-11,north,1671.0
257,1793,pink morsel,2018-04-11,south,1527.0
258,1794,pink morsel,2018-04-11,east,1581.0
259,1795,pink morsel,2018-04-11,west,1764.0
260,1820,pink morsel,2018-04-12,north,1653.0
261,1821,pink morsel,2018-04-12,south,1626.0
262,1822,pink morsel,2018-04-12,east,1782.0
263,1823,pink morsel,2018-04-12,west,1749.0
264,1848,pink morsel,2018-04-13,north,1539.0
265,1849,pink morsel,2018-04-13,south,1752.0
266,1850,pink morsel,2018-04-13,east,1674.0
267,1851,pink morsel,2018-04-13,west,1749.0
268,1876,pink morsel,2018-04-14,north,1569.0
269,1877,pink morsel,2018-04-14,south,1794.0
270,1878,pink morsel,2018-04-14,east,1674.0
271,1879,pink morsel,2018-04-14,west,1638.0
272,1904,pink morsel,2018-04-15,north,1515.0
273,1905,pink morsel,2018-04-15,south,1527.0
274,1906,pink morsel,2018-04-15,east,1602.0
275,1907,pink morsel,2018-04-15,west,1653.0
276,1932,pink morsel,2018-04-16,north,1602.0
277,1933,pink morsel,2018-04-16,south,1707.0
278,1934,pink morsel,2018-04-16,east,1548.0
279,1935,pink morsel,2018-04-16,west,1527.0
280,1960,pink morsel,2018-04-17,north,1599.0
281,1961,pink morsel,2018-04-17,south,1728.0
282,1962,pink morsel,2018-04-17,east,1704.0
283,1963,pink morsel,2018-04-17,west,1539.0
284,1988,pink morsel,2018-04-18,north,1545.0
285,1989,pink morsel,2018-04-18,south,1797.0
286,1990,pink morsel,2018-04-18,east,1515.0
287,1991,pink morsel,2018-04-18,west,1719.0
288,2016,pink morsel,2018-04-19,north,1713.0
289,2017,pink morsel,2018-04-19,south,1674.0
290,2018,pink morsel,2018-04-19,east,1767.0
291,2019,pink morsel,2018-04-19,west,1767.0
292,2044,pink morsel,2018-04-20,north,1668.0
293,2045,pink morsel,2018-04-20,south,1620.0
294,2046,pink morsel,2018-04-20,east,1677.0
295,2047,pink morsel,2018-04-20,west,1509.0
296,2072,pink morsel,2018-04-21,north,1683.0
297,2073,pink morsel,2018-04-21,south,1743.0
298,2074,pink morsel,2018-04-21,east,1644.0
299,2075,pink morsel,2018-04-21,west,1578.0
300,2100,pink morsel,2018-04-22,north,1572.0
301,2101,pink morsel,2018-04-22,south,1545.0
302,2102,pink morsel,2018-04-22,east,1557.0
303,2103,pink morsel,2018-04-22,west,1626.0
304,2128,pink morsel,2018-04-23,north,1710.0
305,2129,pink morsel,2018-04-23,south,1659.0
306,2130,pink morsel,2018-04-23,east,1665.0
307,2131,pink morsel,2018-04-23,west,1521.0
308,2156,pink morsel,2018-04-24,north,1503.0
309,2157,pink morsel,2018-04-24,south,1650.0
310,2158,pink morsel,2018-04-24,east,1689.0
311,2159,pink morsel,2018-04-24,west,1743.0
312,2184,pink morsel,2018-04-25,north,1623.0
313,2185,pink morsel,2018-04-25,south,1503.0
314,2186,pink morsel,2018-04-25,east,1758.0
315,2187,pink morsel,2018-04-25,west,1557.0
316,2212,pink morsel,2018-04-26,north,1713.0
317,2213,pink morsel,2018-04-26,south,1734.0
318,2214,pink morsel,2018-04-26,east,1740.0
319,2215,pink morsel,2018-04-26,west,1563.0
320,2240,pink morsel,2018-04-27,north,1716.0
321,2241,pink morsel,2018-04-27,south,1791.0
322,2242,pink morsel,2018-04-27,east,1674.0
323,2243,pink morsel,2018-04-27,west,1716.0
324,2268,pink morsel,2018-04-28,north,1632.0
325,2269,pink morsel,2018-04-28,south,1641.0
326,2270,pink morsel,2018-04-28,east,1584.0
327,2271,pink morsel,2018-04-28,west,1590.0
328,2296,pink morsel,2018-04-29,north,1713.0
329,2297,pink morsel,2018-04-29,south,1593.0
330,2298,pink morsel,2018-04-29,east,1740.0
331,2299,pink morsel,2018-04-29,west,1638.0
332,2324,pink morsel,2018-04-30,north,1653.0
333,2325,pink morsel,2018-04-30,south,1590.0
334,2326,pink morsel,2018-04-30,east,1593.0
335,2327,pink morsel,2018-04-30,west,1602.0
336,2352,pink morsel,2018-05-01,north,1785.0
337,2353,pink morsel,2018-05-01,south,1764.0
338,2354,pink morsel,2018-05-01,east,1506.0
339,2355,pink morsel,2018-05-01,west,1536.0
340,2380,pink morsel,2018-05-02,north,1623.0
341,2381,pink morsel,2018-05-02,south,1674.0
342,2382,pink morsel,2018-05-02,east,1791.0
343,2383,pink morsel,2018-05-02,west,1653.0
344,2408,pink morsel,2018-05-03,north,1785.0
345,2409,pink morsel,2018-05-03,south,1569.0
346,2410,pink morsel,2018-05-03,east,1500.0
347,2411,pink morsel,2018-05-03,west,1770.0
348,2436,pink morsel,2018-05-04,north,1653.0
349,2437,pink morsel,2018-05-04,south,1590.0
350,2438,pink morsel,2018-05-04,east,1671.0
351,2439,pink morsel,2018-05-04,west,1629.0
352,2464,pink morsel,2018-05-05,north,1578.0
353,2465,pink morsel,2018-05-05,south,1665.0
354,2466,pink morsel,2018-05-05,east,1575.0
355,2467,pink morsel,2018-05-05,west,1587.0
356,2492,pink morsel,2018-05-06,north,1674.0
357,2493,pink morsel,2018-05-06,south,1785.0
358,2494,pink morsel,2018-05-06,east,1719.0
359,2495,pink morsel,2018-05-06,west,1617.0
360,2520,pink morsel,2018-05-07,north,1794.0
361,2521,pink morsel,2018-05-07,south,1563.0
362,2522,pink morsel,2018-05-07,east,1728.0
363,2523,pink morsel,2018-05-07,west,1740.0
364,2548,pink morsel,2018-05-08,north,1617.0
365,2549,pink morsel,2018-05-08,south,1650.0
366,2550,pink morsel,2018-05-08,east,1728.0
367,2551,pink morsel,2018-05-08,west,1635.0
368,2576,pink morsel,2018-05-09,north,1584.0
369,2577,pink morsel,2018-05-09,south,1647.0
370,2578,pink morsel,2018-05-09,east,1551.0
371,2579,pink morsel,2018-05-09,west,1512.0
372,2604,pink morsel,2018-05-10,north,1737.0
373,2605,pink morsel,2018-05-10,south,1551.0
374,2606,pink morsel,2018-05-10,east,1515.0
375,2607,pink morsel,2018-05-10,west,1716.0
376,2632,pink morsel,2018-05-11,north,1746.0
377,2633,pink morsel,2018-05-11,south,1677.0
378,2634,pink morsel,2018-05-11,east,1584.0
379,2635,pink morsel,2018-05-11,west,1617.0
380,2660,pink morsel,2018-05-12,north,1743.0
381,2661,pink morsel,2018-05-12,south,1533.0
382,2662,pink morsel,2018-05-12,east,1521.0
383,2663,pink morsel,2018-05-12,west,1578.0
384,2688,pink morsel,2018-05-13,north,1545.0
385,2689,pink morsel,2018-05-13,south,1713.0
386,2690,pink morsel,2018-05-13,east,1665.0
387,2691,pink morsel,2018-05-13,west,1644.0
388,2716,pink morsel,2018-05-14,north,1776.0
389,2717,pink morsel,2018-05-14,south,1560.0
390,2718,pink morsel,2018-05-14,east,1644.0
391,2719,pink morsel,2018-05-14,west,1503.0
392,2744,pink morsel,2018-05-15,north,1800.0
393,2745,pink morsel,2018-05-15,south,1758.0
394,2746,pink morsel,2018-05-15,east,1701.0
395,2747,pink morsel,2018-05-15,west,1671.0
396,2772,pink morsel,2018-05-16,north,1593.0
397,2773,pink morsel,2018-05-16,south,1617.0
398,2774,pink morsel,2018-05-16,east,1626.0
399,2775,pink morsel,2018-05-16,west,1629.0
400,2800,pink morsel,2018-05-17,north,1728.0
401,2801,pink morsel,2018-05-17,south,1506.0
402,2802,pink morsel,2018-05-17,east,1590.0
403,2803,pink morsel,2018-05-17,west,1626.0
404,2828,pink morsel,2018-05-18,north,1782.0
405,2829,pink morsel,2018-05-18,south,1572.0
406,2830,pink morsel,2018-05-18,east,1539.0
407,2831,pink morsel,2018-05-18,west,1509.0
408,2856,pink morsel,2018-05-19,north,1788.0
409,2857,pink morsel,2018-05-19,south,1713.0
410,2858,pink morsel,2018-05-19,east,1626.0
411,2859,pink morsel,2018-05-19,west,1629.0
412,2884,pink morsel,2018-05-20,north,1548.0
413,2885,pink morsel,2018-05-20,south,1716.0
414,2886,pink morsel,2018-05-20,east,1752.0
415,2887,pink morsel,2018-05-20,west,1638.0
416,2912,pink morsel,2018-05-21,north,1575.0
417,2913,pink morsel,2018-05-21,south,1671.0
418,2914,pink morsel,2018-05-21,east,1626.0
419,2915,pink morsel,2018-05-21,west,1572.0
420,2940,pink morsel,2018-05-22,north,1572.0
421,2941,pink morsel,2018-05-22,south,1569.0
422,2942,pink morsel,2018-05-22,east,1581.0
423,2943,pink morsel,2018-05-22,west,1521.0
424,2968,pink morsel,2018-05-23,north,1641.0
425,2969,pink morsel,2018-05-23,south,1692.0
426,2970,pink morsel,2018-05-23,east,1713.0
427,2971,pink morsel,2018-05-23,west,1563.0
428,2996,pink morsel,2018-05-24,north,1524.0
429,2997,pink morsel,2018-05-24,south,1533.0
430,2998,pink morsel,2018-05-24,east,1695.0
431,2999,pink morsel,2018-05-24,west,1533.0
432,3024,pink morsel,2018-05-25,north,1599.0
433,3025,pink morsel,2018-05-25,south,1665.0
434,3026,pink morsel,2018-05-25,east,1713.0
435,3027,pink morsel,2018-05-25,west,1644.0
436,3052,pink morsel,2018-05-26,north,1776.0
437,3053,pink morsel,2018-05-26,south,1530.0
438,3054,pink morsel,2018-05-26,east,1650.0
439,3055,pink morsel,2018-05-26,west,1512.0
440,3080,pink morsel,2018-05-27,north,1629.0
441,3081,pink morsel,2018-05-27,south,1707.0
442,3082,pink morsel,2018-05-27,east,1521.0
443,3083,pink morsel,2018-05-27,west,1761.0
444,3108,pink morsel,2018-05-28,north,1755.0
445,3109,pink morsel,2018-05-28,south,1659.0
446,3110,pink morsel,2018-05-28,east,1800.0
447,3111,pink morsel,2018-05-28,west,1539.0
448,3136,pink morsel,2018-05-29,north,1713.0
449,3137,pink morsel,2018-05-29,south,1752.0
450,3138,pink morsel,2018-05-29,east,1629.0
451,3139,pink morsel,2018-05-29,west,1635.0
452,3164,pink morsel,2018-05-30,north,1674.0
453,3165,pink morsel,2018-05-30,south,1701.0
454,3166,pink morsel,2018-05-30,east,1614.0
455,3167,pink morsel,2018-05-30,west,1794.0
456,3192,pink morsel,2018-05-31,north,1725.0
457,3193,pink morsel,2018-05-31,south,1659.0
458,3194,pink morsel,2018-05-31,east,1536.0
459,3195,pink morsel,2018-05-31,west,1620.0
460,3220,pink morsel,2018-06-01,north,1794.0
461,3221,pink morsel,2018-06-01,south,1623.0
462,3222,pink morsel,2018-06-01,east,1665.0
463,3223,pink morsel,2018-06-01,west,1671.0
464,3248,pink morsel,2018-06-02,north,1752.0
465,3249,pink morsel,2018-06-02,south,1707.0
466,3250,pink morsel,2018-06-02,east,1797.0
467,3251,pink morsel,2018-06-02,west,1668.0
468,3276,pink morsel,2018-06-03,north,1596.0
469,3277,pink morsel,2018-06-03,south,1503.0
470,3278,pink morsel,2018-06-03,east,1578.0
471,3279,pink morsel,2018-06-03,west,1680.0
472,3304,pink morsel,2018-06-04,north,1608.0
473,3305,pink morsel,2018-06-04,south,1683.0
474,3306,pink morsel,2018-06-04,east,1572.0
475,3307,pink morsel,2018-06-04,west,1656.0
476,3332,pink morsel,2018-06-05,north,1713.0
477,3333,pink morsel,2018-06-05,south,1698.0
478,3334,pink morsel,2018-06-05,east,1557.0
479,3335,pink morsel,2018-06-05,west,1782.0
480,3360,pink morsel,2018-06-06,north,1695.0
481,3361,pink morsel,2018-06-06,south,1680.0
482,3362,pink morsel,2018-06-06,east,1761.0
483,3363,pink morsel,2018-06-06,west,1659.0
484,3388,pink morsel,2018-06-07,north,1518.0
485,3389,pink morsel,2018-06-07,south,1572.0
486,3390,pink morsel,2018-06-07,east,1785.0
487,3391,pink morsel,2018-06-07,west,1557.0
488,3416,pink morsel,2018-06-08,north,1719.0
489,3417,pink morsel,2018-06-08,south,1677.0
490,3418,pink morsel,2018-06-08,east,1695.0
491,3419,pink morsel,2018-06-08,west,1602.0
492,3444,pink morsel,2018-06-09,north,1782.0
493,3445,pink morsel,2018-06-09,south,1773.0
494,3446,pink morsel,2018-06-09,east,1656.0
495,3447,pink morsel,2018-06-09,west,1665.0
496,3472,pink morsel,2018-06-10,north,1578.0
497,3473,pink morsel,2018-06-10,south,1641.0
498,3474,pink morsel,2018-06-10,east,1737.0
499,3475,pink morsel,2018-06-10,west,1557.0
500,3500,pink morsel,2018-06-11,north,1788.0
501,3501,pink morsel,2018-06-11,south,1677.0
502,3502,pink morsel,2018-06-11,east,1698.0
503,3503,pink morsel,2018-06-11,west,1728.0
504,3528,pink morsel,2018-06-12,north,1776.0
505,3529,pink morsel,2018-06-12,south,1551.0
506,3530,pink morsel,2018-06-12,east,1548.0
507,3531,pink morsel,2018-06-12,west,1542.0
508,3556,pink morsel,2018-06-13,north,1683.0
509,3557,pink morsel,2018-06-13,south,1683.0
510,3558,pink morsel,2018-06-13,east,1572.0
511,3559,pink morsel,2018-06-13,west,1683.0
512,3584,pink morsel,2018-06-14,north,1761.0
513,3585,pink morsel,2018-06-14,south,1668.0
514,3586,pink morsel,2018-06-14,east,1599.0
515,3587,pink morsel,2018-06-14,west,1593.0
516,3612,pink morsel,2018-06-15,north,1623.0
517,3613,pink morsel,2018-06-15,south,1737.0
518,3614,pink morsel,2018-06-15,east,1593.0
519,3615,pink morsel,2018-06-15,west,1788.0
520,3640,pink morsel,2018-06-16,north,1659.0
521,3641,pink morsel,2018-06-16,south,1641.0
522,3642,pink morsel,2018-06-16,east,1575.0
523,3643,pink morsel,2018-06-16,west,1611.0
524,3668,pink morsel,2018-06-17,north,1599.0
525,3669,pink morsel,2018-06-17,south,1530.0
526,3670,pink morsel,2018-06-17,east,1608.0
527,3671,pink morsel,2018-06-17,west,1626.0
528,3696,pink morsel,2018-06-18,north,1530.0
529,3697,pink morsel,2018-06-18,south,1707.0
530,3698,pink morsel,2018-06-18,east,1611.0
531,3699,pink morsel,2018-06-18,west,1635.0
532,3724,pink morsel,2018-06-19,north,1593.0
533,3725,pink morsel,2018-06-19,south,1749.0
534,3726,pink morsel,2018-06-19,east,1623.0
535,3727,pink morsel,2018-06-19,west,1608.0
536,3752,pink morsel,2018-06-20,north,1665.0
537,3753,pink morsel,2018-06-20,south,1659.0
538,3754,pink morsel,2018-06-20,east,1734.0
539,3755,pink morsel,2018-06-20,west,1557.0
540,3780,pink morsel,2018-06-21,north,1797.0
541,3781,pink morsel,2018-06-21,south,1587.0
542,3782,pink morsel,2018-06-21,east,1557.0
543,3783,pink morsel,2018-06-21,west,1542.0
544,3808,pink morsel,2018-06-22,north,1743.0
545,3809,pink morsel,2018-06-22,south,1797.0
546,3810,pink morsel,2018-06-22,east,1686.0
547,3811,pink morsel,2018-06-22,west,1683.0
548,3836,pink morsel,2018-06-23,north,1791.0
549,3837,pink morsel,2018-06-23,south,1554.0
550,3838,pink morsel,2018-06-23,east,1695.0
551,3839,pink morsel,2018-06-23,west,1566.0
552,3864,pink morsel,2018-06-24,north,1563.0
553,3865,pink morsel,2018-06-24,south,1623.0
554,3866,pink morsel,2018-06-24,east,1530.0
555,3867,pink morsel,2018-06-24,west,1662.0
556,3892,pink morsel,2018-06-25,north,1650.0
557,3893,pink morsel,2018-06-25,south,1602.0
558,3894,pink morsel,2018-06-25,east,1548.0
559,3895,pink morsel,2018-06-25,west,1623.0
560,3920,pink morsel,2018-06-26,north,1728.0
561,3921,pink morsel,2018-06-26,south,1533.0
562,3922,pink morsel,2018-06-26,east,1503.0
563,3923,pink morsel,2018-06-26,west,1629.0
